"manufacturer","model","year","price","odometer","condition","type","size","paint_color","fuel","transmission","cylinders"
"chrysler","200",2014,6801,77858,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"nissan","sentra",2008,3520,200000,"excellent","sedan",NA,"white","gas","automatic",NA
NA,"Porsche Macan GTS AWD",2018,54950,49865,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","silverado 1500 ltz 4x4",2009,19995,141000,"excellent","truck","full-size","black","gas","automatic","8 cylinders"
"mercedes-benz","benz w126 420 sel",1987,10999,86450,"good","sedan","mid-size","blue","gas","automatic","8 cylinders"
"toyota","highlander",2010,14995,161926,"excellent","SUV","full-size","red","gas","automatic",NA
NA,"Didge Caravan SXT",2006,4995,143674,"good","mini-van",NA,"silver","gas","automatic","6 cylinders"
"toyota","tacoma double cab sr",2017,31990,12584,"good","pickup",NA,"white","gas","other",NA
"ford","taurus se",2003,2995,82430,"good","sedan","mid-size","silver","gas","automatic","6 cylinders"
"chevrolet","cruze",2011,6495,138836,NA,NA,NA,NA,"gas","automatic",NA
"ram","1500 quad cab express pickup",2017,28990,36227,"good","pickup",NA,"white","gas","other","6 cylinders"
"ford","f150 xlt 4x4 supercrew",2008,9995,119504,"excellent",NA,"full-size","black","gas","automatic","8 cylinders"
"bmw","530i",2005,3950,204646,"excellent","sedan",NA,NA,"gas","manual",NA
"hyundai","genesis 4.6",2010,7200,117600,"excellent","sedan","full-size","red","gas","automatic","8 cylinders"
"dodge","grand caravan",2012,6995,96970,NA,"mini-van",NA,"silver","other","automatic",NA
"toyota","tacoma",2010,8999,63124,"excellent",NA,NA,NA,"gas","other","4 cylinders"
"buick","encore preferred sport",2019,20990,8076,"good","SUV",NA,"red","gas","other",NA
"ford","f250 super duty crew cab",2017,34595,39322,NA,"pickup",NA,"white","other","automatic","8 cylinders"
"chevrolet","suburban 1500 lt 4x4",2011,18750,114439,"excellent","SUV",NA,"black","gas","automatic","8 cylinders"
"gmc","sierra 1500 slt",2018,42595,24602,NA,NA,NA,NA,"gas","automatic","8 cylinders"
"honda","civic",2016,12750,53000,"excellent","sedan","compact","grey","gas","automatic","4 cylinders"
"ford","f150",2011,11985,194263,NA,NA,NA,"white",NA,"automatic","8 cylinders"
"chevrolet","camaro ls",2013,0,124025,NA,NA,NA,NA,"gas","automatic",NA
"ford","f-150",2010,0,89995,"excellent","pickup","full-size","blue","gas","automatic","8 cylinders"
"chevrolet","silverado 3500",2007,21995,221202,"good","truck","full-size","white","gas","automatic","8 cylinders"
"ford","mustang",1965,11500,65000,"good","coupe","compact","blue","gas","automatic","8 cylinders"
"ford","f150 supercrew cab xlt",2018,32990,17702,"good","pickup",NA,"blue","gas","automatic","6 cylinders"
"ford","f150 platinum",2010,21500,96205,"like new","truck","full-size","red","gas","automatic","8 cylinders"
"chevrolet","express 4500 base",2012,15000,137447,"good","hatchback",NA,"white","diesel","automatic","8 cylinders"
"chrysler","pt cruiser",2002,1200,220000,"fair","hatchback","compact","grey","gas","manual","4 cylinders"
"ford","fusion",2016,10495,84257,NA,"sedan",NA,"custom","gas","automatic","4 cylinders"
"jeep","liberty sport",2009,3850,203324,"excellent","SUV","full-size","silver","gas","automatic","6 cylinders"
"subaru","outback",2008,4200,180000,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","astro",2000,9900,88000,NA,NA,NA,NA,"gas","automatic",NA
"toyota","corolla",2018,15425,45733,NA,"sedan","mid-size","custom","gas","automatic","4 cylinders"
"mercury","milan",2009,5165,132565,NA,"sedan",NA,"white","gas","automatic",NA
NA,"Isuzu NPR",2013,19990,92649,"good","truck","full-size","white","diesel","automatic","6 cylinders"
"dodge","grand caravan",2010,5950,120000,"good","mini-van","full-size","black","other","automatic","6 cylinders"
"jeep","grand cherokee",2004,2000,169290,"fair","SUV","full-size","red","gas","automatic","6 cylinders"
"toyota","corolla",2018,14951,69526,NA,"sedan",NA,"grey","gas","automatic","4 cylinders"
"chevrolet","silverado 3500 crew cab ltz 4x4 dually duramax diesel",2018,64995,39934,NA,"pickup",NA,"red","other","automatic","8 cylinders"
"ford","f-550sd",2014,33995,91554,NA,NA,NA,"white","other","automatic",NA
"ford","f150 super cab xl pickup 4d",2017,32990,43855,"good","pickup",NA,"white","gas","automatic","6 cylinders"
"nissan","720 truck",1982,1200,250000,"fair","truck","mid-size","blue","diesel","manual","4 cylinders"
NA,"HONDA/CR-V",2008,8999,128340,"excellent","SUV",NA,"blue","gas","automatic","4 cylinders"
"nissan","altima",2015,10900,87623,NA,NA,NA,"blue","gas","automatic",NA
"ford","focus",2015,0,32358,NA,"sedan","compact","silver","other","automatic",NA
"hyundai","tucson",2013,11780,84637,"excellent","SUV","compact","brown","gas","automatic","4 cylinders"
"dodge","charger",2015,23995,69451,NA,"sedan",NA,"grey","gas","automatic","8 cylinders"
"toyota","sienna xle",2017,46000,33200,"excellent","mini-van","full-size","black","gas","automatic","6 cylinders"
"jeep","wrangler",2012,29777,61985,"excellent","SUV",NA,"black","gas","automatic",NA
"pontiac","vibe",2009,4495,157830,NA,"other",NA,NA,"gas","automatic",NA
"chevrolet","silverado",2007,23500,160000,"good","truck",NA,"grey","diesel","automatic","8 cylinders"
"jaguar","x-type s",2015,36900,26474,"like new","coupe",NA,"red","gas","automatic","6 cylinders"
"ford","transit t250",2017,12900,180000,NA,"van",NA,"yellow","gas","automatic","6 cylinders"
"subaru","outback",2017,21995,26566,NA,NA,NA,NA,"gas","automatic",NA
"subaru","forester",2018,0,19022,NA,"SUV",NA,"silver","gas","automatic",NA
"nissan","titan 4x4 1/2 ton gas",2014,23999,70638,NA,"truck",NA,"grey","gas","automatic",NA
"jeep","patriot",2007,3500,123000,"good","SUV",NA,"silver","gas","manual","4 cylinders"
"jeep","grand cherokee",2014,16998,116682,NA,"SUV","mid-size","black","gas","automatic","6 cylinders"
"mazda","5",2009,3400,127000,"good","hatchback","full-size","custom","gas","automatic","4 cylinders"
"ford","fusion se sedan 4d",2014,13590,54334,"good","sedan",NA,NA,"hybrid","other",NA
"ford","escape se",2014,9999,125118,"excellent","SUV",NA,NA,"gas","automatic","4 cylinders"
"toyota","camry",2012,8495,183059,NA,"sedan",NA,NA,"gas","automatic",NA
"nissan","altima 2.5 s",2016,12995,75521,"excellent",NA,NA,"red","gas","automatic","4 cylinders"
"kia","sorento lx",2016,13198,60248,"like new","SUV","full-size","white","gas","automatic","4 cylinders"
"chevrolet","colorado",2017,28995,33753,NA,"truck",NA,NA,"gas","automatic","6 cylinders"
"honda","crv-exl",2010,8900,99449,"excellent","SUV","mid-size","blue","gas","automatic","4 cylinders"
"acura","tsx",2006,7000,166130,"excellent","sedan","mid-size","silver","gas","automatic","4 cylinders"
"ford","f-150",2006,5500,124300,"good","pickup","full-size","grey","gas","automatic","8 cylinders"
"kia","forte",2018,12950,12000,"excellent","sedan","compact","silver","gas","automatic","4 cylinders"
"dodge","challenger",2014,14995,63232,NA,"coupe",NA,"black","gas","automatic","6 cylinders"
"ford","fiesta se hatchback",2019,12195,37832,"like new",NA,NA,NA,"gas","automatic",NA
"ford","focus",2017,18495,40101,NA,"hatchback",NA,"black","gas","manual",NA
"chevrolet","silverado 1500",2008,9988,180536,"good","truck","full-size","white","gas","automatic","8 cylinders"
"lexus","ct200h",2013,999,172500,NA,NA,NA,NA,"hybrid","automatic","4 cylinders"
"ford","explorer xlt",2012,6800,212000,"good","SUV","mid-size","black","gas","automatic","6 cylinders"
"ford","f-350",2017,63999,27094,"like new","truck","full-size","white","diesel","automatic","8 cylinders"
"chevrolet","tahoe",2010,19995,117282,NA,"SUV",NA,NA,"other","automatic",NA
NA,"1970  Motor-Cycle MCG4TR",1970,2500,3236,"good",NA,NA,"red","gas","manual",NA
"ford","edge",2019,0,15902,NA,NA,NA,NA,"gas","other",NA
"ford","f150 fx4",2013,19995,128391,NA,"other",NA,"silver","gas","automatic",NA
"ford","ranger edge",2001,2500,140000,"good","truck",NA,"white","hybrid","automatic","6 cylinders"
"toyota","camry",2011,11495,78535,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"lexus","rx350",2017,30750,51300,"excellent","SUV","full-size","white","gas","automatic","6 cylinders"
"ford","fusion se 4dr sedan",2014,0,51103,"like new","sedan","full-size","grey","gas","automatic","6 cylinders"
"ford","fusion",2009,0,147939,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"bmw","550i",2008,12000,108000,"like new","sedan","full-size","black","gas","automatic","8 cylinders"
"honda","fit lx",2014,9995,118322,"like new","hatchback","compact","black","gas","automatic","4 cylinders"
"honda","accord",2017,15895,71376,NA,"coupe",NA,"black","gas","automatic",NA
"ford","f-250 super duty",2017,0,114094,NA,"truck","full-size","white","other","automatic","8 cylinders"
"nissan","xterra",2008,6500,188000,"excellent","SUV","full-size","white","gas","automatic","6 cylinders"
"volkswagen","jetta",2017,13995,58823,NA,"sedan","compact","black","gas","automatic",NA
"nissan","altima",2009,5280,143728,"excellent",NA,NA,NA,"gas","automatic",NA
"nissan","sentra",2019,0,22982,NA,"other",NA,"red","gas","automatic",NA
"ford","f250 xlt",1996,3500,158000,NA,NA,NA,NA,"gas","automatic",NA
"gmc","yukon",2003,6995,115000,"good","SUV","full-size","blue","gas","automatic","8 cylinders"
"toyota","4runner",2005,9195,155249,"good","SUV","full-size","silver","gas","automatic","8 cylinders"
"mitsubishi","outlander",2011,5950,154532,"good","SUV","full-size","red","gas","automatic","4 cylinders"
"chevrolet","silverado 3500 ltz",2016,0,57248,NA,"truck",NA,NA,"diesel","automatic","8 cylinders"
"chevrolet","volt lt 19000 miles",2017,16998,19067,"excellent","hatchback",NA,NA,"gas","automatic",NA
"nissan","altima 2.5 sl sedan 4d",2016,0,54985,"good","sedan",NA,"brown","other","automatic",NA
"ford","f350 diesels powerstroke",2020,0,9463,NA,"truck",NA,"black","diesel","automatic",NA
"chevrolet","cruze",2015,11306,56300,NA,"sedan",NA,"blue","gas","automatic",NA
"ford","fusion",2010,7900,89000,"like new","sedan","full-size","silver","gas","automatic","6 cylinders"
"chevrolet","tahoe lt z71",2003,3495,289000,"fair","SUV","full-size","blue","gas","automatic","8 cylinders"
"honda","accord",2002,3990,210520,NA,"sedan",NA,"white","gas","automatic",NA
"gmc","sierra 2500 denali crew cab 4x4 duramax diesel",2014,43995,90650,NA,"pickup",NA,"black","diesel","automatic","8 cylinders"
"ford","expedition xlt",2012,10495,151200,"excellent","SUV","full-size","grey","gas","automatic","8 cylinders"
"ford","f-150 lariat crew cab shor",2014,27998,91848,NA,NA,NA,NA,"gas","automatic",NA
NA,"Oldsmobile Alero",2003,0,69828,"excellent","sedan",NA,"red","gas","automatic","6 cylinders"
"subaru","outback 2.5i wagon 4d",2008,6995,134086,NA,"wagon",NA,"silver","gas","automatic","4 cylinders"
"fiat","500",2015,7900,73208,"excellent","coupe","sub-compact","yellow","gas","automatic","4 cylinders"
"chevrolet","3500 van",2001,5500,142000,NA,NA,NA,NA,"gas","automatic",NA
"cadillac","xt6",2020,0,2148,"excellent","SUV","mid-size","silver","gas","automatic","6 cylinders"
"volvo","s90 save 18000 dollars off",2019,37995,10,"excellent","sedan",NA,NA,"gas","automatic",NA
"dodge","charger",2012,9999,176,"like new","sedan","compact","black","gas","automatic","8 cylinders"
"lexus","rx",2018,40300,43633,"excellent","SUV",NA,"silver","gas","automatic","6 cylinders"
NA,"gem e4",2017,16995,753,NA,NA,NA,NA,"electric","automatic",NA
"hyundai","santa fe sport utility",2018,18990,30682,"good","other",NA,"silver","gas","other",NA
"ford","fusion",2013,7995,115456,"good","sedan","mid-size","silver","gas","automatic","4 cylinders"
"lexus","rx 350 awd 33 service rec",2010,0,166266,NA,"SUV",NA,NA,"gas","automatic","6 cylinders"
NA,"Porsche 911",1971,75000,100602,"like new","convertible","mid-size","orange","gas","manual","6 cylinders"
"volkswagen","passat tdi",2013,10800,64000,"excellent",NA,NA,"silver","diesel","automatic",NA
"chevrolet","silverado 1500 crew cab",2010,0,150773,NA,"pickup",NA,"silver","other","automatic","8 cylinders"
"ford","explorer",2017,34000,9500,"like new","SUV","full-size","blue","gas","automatic","6 cylinders"
"ford","taurus",2016,13994,71526,NA,"sedan",NA,"silver","gas","automatic","6 cylinders"
"kia","soul",2018,11500,60196,"excellent","SUV",NA,"black","gas","automatic",NA
"volkswagen","passat 4dr sdn 2.0l",2014,196,35988,NA,"sedan",NA,NA,"diesel","manual","4 cylinders"
"rover","lr3",2006,0,79862,NA,"SUV",NA,"silver","gas","automatic","8 cylinders"
"toyota","yaris hatchback",2007,2300,192000,"good","hatchback","sub-compact","blue","gas","manual","4 cylinders"
"ram","1500 crew cab express pickup",2017,29590,27076,"good","pickup",NA,"black","gas","other","8 cylinders"
"chevrolet","impala",2010,5500,70000,"good","sedan",NA,"white","gas","automatic","6 cylinders"
"hyundai","sonata",2011,4500,145000,"good","sedan",NA,"black","gas","automatic","4 cylinders"
"honda","cr-v",2006,5950,168766,NA,"other",NA,"silver","gas","automatic",NA
"mercedes-benz","e-class",2014,0,95274,NA,"sedan",NA,"black","gas","automatic",NA
"subaru","forester awd",2014,11900,63,"excellent","SUV",NA,"blue","gas","automatic","4 cylinders"
"chevrolet","c/k 1500",1993,0,117270,"excellent","pickup","full-size","blue","gas","automatic","8 cylinders"
"ford","mustang",2010,18777,76176,NA,"convertible","sub-compact",NA,"gas","automatic",NA
"chevrolet","avalanche",2008,9995,178140,NA,NA,NA,NA,"gas","automatic",NA
"jeep","wrangler jlu rubicon",2018,55000,18000,"excellent","SUV","mid-size","silver","gas","automatic","6 cylinders"
"buick","regal 4dr sdn ls",2004,51,132205,NA,"sedan",NA,NA,"gas","automatic","6 cylinders"
"ford","f-550",2014,28990,171206,"good","truck","full-size","white","diesel","automatic","8 cylinders"
"toyota","sienna xle",2005,3600,226000,"good",NA,NA,NA,"gas","automatic",NA
"gmc","sierra 2500hd",2008,25900,155000,NA,"other",NA,"silver","diesel","automatic",NA
"ram","2500",2005,19999,182067,"excellent","truck",NA,"white","diesel","manual","6 cylinders"
"ford","fusion s",2015,6000,41732,NA,"sedan","compact",NA,"gas","automatic","4 cylinders"
"jeep","wrangler",2003,9997,127918,NA,NA,NA,"red","gas","manual",NA
"chevrolet","cavalier ls",2004,3290,104000,"excellent",NA,NA,NA,"gas","automatic","4 cylinders"
"bmw","328i sedan",2011,7788,126438,"excellent",NA,NA,"grey","gas","automatic","6 cylinders"
"chevrolet","van",1985,5995,130578,NA,NA,NA,"white","gas","automatic",NA
"toyota","prius",2007,4500,173438,NA,"hatchback",NA,"silver","gas","automatic","4 cylinders"
"cadillac","escalade",2007,13946,99755,"excellent","SUV",NA,"blue","gas","automatic","8 cylinders"
"ford","f-250 super duty",2017,0,74947,NA,"truck","full-size","white","gas","automatic","8 cylinders"
"dodge","challenger",2017,23500,41433,"excellent","coupe","mid-size","red","gas","automatic","6 cylinders"
"chevrolet","silverado 1500",2015,18945,131250,"excellent","pickup","full-size","brown","gas","automatic","8 cylinders"
"chevrolet","express commercial cutaway",2017,36950,13227,NA,NA,NA,"white","gas","automatic","8 cylinders"
NA,"chryler town and country",2010,6995,96305,NA,NA,NA,NA,"gas","automatic","6 cylinders"
"ram","3500 slt crew 4x4",2017,31595,106100,NA,NA,NA,"white","diesel","automatic","8 cylinders"
"hyundai","elantra sel auto",2019,187,38773,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"jeep","cherokee",2020,27995,13187,NA,"SUV",NA,NA,"gas","automatic","6 cylinders"
"nissan","armada",2020,33995,3058,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","trailblazer",2006,3990,179395,"excellent","SUV","full-size","white","gas","automatic","6 cylinders"
"mercedes-benz","c-class",2016,21701,84810,NA,"sedan","compact","silver","gas","automatic",NA
"kia","optima",2015,11231,91111,NA,NA,NA,NA,NA,NA,NA
"ford","crown victoria police inter",2008,6900,69500,"like new","sedan","full-size","blue","gas","automatic","8 cylinders"
"ford","f-350 ext cab lariat 4x4",2008,24999,69804,NA,"pickup",NA,"blue","diesel","automatic","8 cylinders"
"ford","f-150 lifted supercrew xlt 4x4 twin turbo financing~",2018,47995,17504,NA,"pickup",NA,"white","gas","automatic","6 cylinders"
"toyota","camry",2004,3200,202000,"good",NA,"full-size","grey","gas","automatic","4 cylinders"
"ford","explorer",2016,29998,49962,NA,NA,NA,NA,"gas","automatic","4 cylinders"
"toyota","avalon",2010,7500,135777,"good","sedan","full-size","black","gas","automatic","6 cylinders"
"rover","discovery sport hse",2017,483,25021,NA,"SUV",NA,NA,"gas","automatic",NA
"audi","tt",2003,3750,105904,"good","convertible","compact","black","gas","automatic","4 cylinders"
"nissan","altima",2012,1800,80934,"good","sedan","full-size","blue","gas","automatic","4 cylinders"
"ford","focus",2015,8397,84009,"good","hatchback",NA,"white","gas","automatic","4 cylinders"
"acura","rdx",2017,25295,34810,"excellent",NA,NA,"white","gas","automatic",NA
"ford","f-250",2008,20995,210921,NA,"pickup",NA,NA,"diesel","automatic",NA
"honda","odyssey",2009,6199,195684,"good","mini-van","full-size","blue","gas","automatic","6 cylinders"
"nissan","rogue sl automatic",2011,6490,149000,"excellent","SUV",NA,"white","gas","automatic","4 cylinders"
"ford","econoline e350",2011,10995,96305,"good","wagon","full-size","brown","gas","automatic","8 cylinders"
"ford","f-150 xlt",2019,1995,32000,"excellent","pickup",NA,NA,"gas","automatic",NA
"chevrolet","silverado z71",2014,26500,52000,NA,"pickup",NA,"blue","gas","automatic","8 cylinders"
"toyota","tacoma",2018,24900,32149,"good","truck","full-size","black","gas","automatic","4 cylinders"
"ford","f550 4x4",2014,0,0,NA,"other",NA,"white","diesel","other",NA
"hyundai","elantra",2020,18950,2491,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"honda","accord",2017,0,29645,"excellent","sedan",NA,NA,"gas","automatic",NA
"lincoln","navigator",2014,21000,119000,"like new","SUV","full-size","black","gas","automatic","8 cylinders"
"bmw","x1 xdrive28i",2014,15997,86400,"excellent",NA,NA,"blue","gas","automatic",NA
"jeep","patriot",2016,11995,50483,NA,"SUV",NA,"black","gas","automatic","4 cylinders"
"mitsubishi","outlander",2020,22925,6,NA,"SUV",NA,NA,"gas","automatic","4 cylinders"
"subaru","xv crosstrek 2.0i premium",2017,14900,48500,"good","wagon",NA,"red","gas","automatic","4 cylinders"
"honda","accord coupe exl",2016,21500,19800,"like new","coupe","compact","black","gas","automatic","4 cylinders"
NA,"Wrangler YJ",1995,5200,132135,"good",NA,NA,"red","gas","manual","4 cylinders"
"mercedes-benz","benz c300",2011,7000,135000,"good","sedan","mid-size","black","gas","automatic","6 cylinders"
"chevrolet","c10",1970,17500,100000,"good","truck","full-size","blue","gas","manual","8 cylinders"
"kia","optima hybrid lx",2012,6995,133723,NA,"sedan",NA,"brown","gas","automatic","4 cylinders"
"ford","escape",2010,7250,133658,NA,"SUV",NA,"silver","gas","automatic","6 cylinders"
"chrysler","town & country",2010,8900,74000,"good","mini-van",NA,"silver","gas","automatic","6 cylinders"
"lexus","rx 300",2003,3995,235784,"good","SUV",NA,"black","gas","automatic","6 cylinders"
"chevrolet","colorado",2019,24998,7665,NA,"truck",NA,NA,"gas","automatic","4 cylinders"
"jeep","wrangler sport suv 2d",2012,244,133634,NA,"SUV",NA,NA,"gas","automatic","6 cylinders"
"audi","q7 4.2 premium quattro",2007,1000,132563,NA,"SUV",NA,"grey","gas","automatic","8 cylinders"
"lexus","rx 330",2004,6900,150,"excellent","SUV","full-size","silver","gas","automatic","6 cylinders"
"kia","forte ex",2010,5812,125264,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","express passenger lt 3",2015,17995,64681,NA,NA,NA,"white","gas","automatic",NA
"jeep","liberty limited limited 4dr",2002,0,95809,NA,"SUV",NA,"silver","gas","automatic","6 cylinders"
"volkswagen","passat",2013,11240,55042,NA,"sedan",NA,"silver","diesel","automatic","4 cylinders"
"mazda","cx-5 sport suv 4d",2016,16990,44807,"good","other",NA,NA,"gas","automatic",NA
"hyundai","santa fe",2014,13850,52761,"excellent","SUV","full-size","green","gas","automatic","4 cylinders"
"ford","f150 supercrew cab xl",2018,34990,14060,"good","pickup",NA,"grey","gas","automatic","6 cylinders"
"nissan","altima 2.5 sl",2012,6750,130000,"excellent","sedan",NA,NA,"gas","automatic","4 cylinders"
"dodge","grand caravan",2014,7500,137000,"fair","mini-van",NA,"blue","gas","automatic","6 cylinders"
"nissan","armada",2011,14531,115729,NA,"SUV",NA,"black","gas","automatic","8 cylinders"
"toyota","camry le sedan 4d",2018,19590,31178,"good","sedan",NA,"black","gas","automatic",NA
"chrysler","pacifica touring plus wheelchair van",2017,37995,59064,NA,"van",NA,"black","gas","automatic","6 cylinders"
"buick","lesabre",1992,2000,15200,NA,"coupe",NA,NA,"gas","automatic",NA
"ford","mustang",1992,12700,103000,"excellent",NA,NA,"silver","gas","manual","8 cylinders"
NA,"Freightliner FL70",1998,9990,154100,"good","truck","full-size","white","diesel","automatic","6 cylinders"
"mazda","mazda3",2014,8990,136330,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"chevrolet","c-10",1963,18900,0,NA,"pickup",NA,"blue","gas","automatic","8 cylinders"
"chevrolet","silverado 3500hd 4x4",2016,31900,113721,"excellent","truck","full-size","white","gas","automatic","8 cylinders"
"ford","fusion titanium",2018,18000,37000,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","silverado 1500 crew",2019,45590,14900,"good","pickup",NA,"blue","gas","automatic","8 cylinders"
"chevrolet","hhr lt",2008,5300,96744,"like new","coupe",NA,"blue","gas","automatic","4 cylinders"
"ford","f250 super duty xl",2014,12995,184406,NA,NA,NA,"white","gas","automatic",NA
"ford","fiesta s",2014,6900,59265,"excellent",NA,NA,NA,"gas","manual","4 cylinders"
"ford","fusion",2013,11997,85166,NA,"sedan","full-size","white","gas","automatic","4 cylinders"
"honda","accord",1991,900,187000,"fair","sedan","compact","red","gas","automatic","4 cylinders"
"nissan","rogue",2013,5500,103500,"good",NA,NA,"silver","gas","automatic",NA
"chevrolet","cruze",2018,11900,808,NA,"sedan",NA,"red","gas","automatic","4 cylinders"
"kia","sportage lx",2011,8995,97591,"excellent","SUV","mid-size","black","gas","manual","4 cylinders"
"ford","escape se fwd",2019,0,37871,"good","hatchback",NA,"silver","other","automatic","4 cylinders"
"mazda","cx-7",2009,6250,156150,"good","SUV","mid-size","black","gas","automatic","4 cylinders"
"chevrolet","suburban",2013,15500,147045,"good","SUV","full-size",NA,"gas","automatic","8 cylinders"
"toyota","carolla",2004,2900,150000,"good","sedan","full-size","silver","gas","automatic","4 cylinders"
"buick","enclave",2012,8995,154139,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","tahoe",2008,13965,158810,NA,"other",NA,NA,"gas","automatic",NA
"dodge","durango",2019,31480,2111,NA,"SUV",NA,NA,"gas","automatic",NA
NA,"smart fortwo",2009,3995,93092,"good",NA,"compact",NA,"gas","automatic",NA
"chevrolet","silverado 2500",1999,2500,212000,NA,NA,NA,NA,"gas","automatic","8 cylinders"
"volkswagen","passat 2.0t wolfsbur",2019,0,26739,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"subaru","impreza wagon",2008,5795,127942,NA,NA,NA,NA,"gas","automatic",NA
NA,"suzuki grand vitara",2007,1595,173000,"good","SUV","mid-size","black","gas","automatic","6 cylinders"
"lincoln","towncar",2011,5750,204000,NA,"sedan","full-size","black","gas","automatic","8 cylinders"
"jeep","grand cherokee",2008,6195,171286,"good","SUV","mid-size","black","gas","automatic","8 cylinders"
NA,"workhorse p42",2002,34000,62480,"excellent",NA,NA,NA,"diesel","automatic","8 cylinders"
"hyundai","genesis 3.8 sedan 4d",2012,0,82118,"excellent","sedan","full-size","white","gas","automatic","6 cylinders"
"dodge","grand caravan sxt",2019,18954,39635,"good","van",NA,"black","gas","other",NA
"ford","expedition max",2019,45650,29251,NA,NA,NA,"black","gas","automatic",NA
"ram","2500",2014,25000,156000,"good","truck","full-size","blue","diesel","automatic",NA
"ford","super duty f-350",2019,67500,15020,"excellent","truck","full-size","silver","diesel","automatic","8 cylinders"
"toyota","prius",2010,7450,135000,"excellent","sedan",NA,"silver","gas","automatic","4 cylinders"
"bmw","m-sport li executive seating",2011,17900,73737,NA,"sedan",NA,"black","gas","automatic",NA
"chevrolet","suburban lt",1999,4499,213186,"good","SUV","full-size","custom","gas","automatic","8 cylinders"
"pontiac",NA,2007,4800,113000,NA,"SUV","full-size","red","gas","manual","4 cylinders"
"audi","q5 premium plus quattro awd",2016,26950,25277,NA,NA,NA,NA,"gas","automatic",NA
"jeep","cherokee",1999,7295,197000,"good","SUV","mid-size","black","gas","automatic","6 cylinders"
"nissan","rogue sl awd gas suv auto",2019,26999,27570,NA,"SUV",NA,"grey","gas","automatic",NA
"toyota","prius",2016,13795,80242,NA,"hatchback",NA,"red","other","automatic",NA
"nissan","altima 2.5 s",2012,3500,158000,"good",NA,NA,NA,"gas","automatic","4 cylinders"
"chevrolet","silverado",2004,3300,166000,"good","pickup","full-size","white","gas","automatic","8 cylinders"
"gmc","yukon xl",2007,3600,195611,"fair","SUV","full-size","silver","gas","automatic","8 cylinders"
"chevrolet","camaro",2015,15999,70225,"excellent","coupe","mid-size","blue","gas","other",NA
"chrysler","200 limited",2016,10900,26995,NA,"sedan",NA,"red","gas","automatic","4 cylinders"
"chevrolet","malibu",2012,0,82685,"excellent","sedan",NA,"white","gas","automatic",NA
"ram",NA,2014,0,0,NA,"other",NA,"white","diesel","automatic",NA
"lexus","rx 350",2015,0,87297,"good","SUV",NA,"black","gas","automatic","6 cylinders"
"dodge","grand caravan",2019,21241,39023,NA,"mini-van",NA,NA,"gas","automatic",NA
"kia","optima lx sedan 4d",2016,13990,21119,"good","sedan",NA,"white","gas","automatic",NA
"acura","tsx",2012,11934,115106,NA,"sedan","compact","white","gas","automatic",NA
"volkswagen","passat",2013,10995,72977,NA,"sedan",NA,"black","gas","automatic",NA
"ford","f-250 king ranch desiel",2007,0,219000,"excellent",NA,NA,NA,"diesel","automatic",NA
"ford","flex",2019,26500,27224,NA,"SUV",NA,NA,"gas","automatic",NA
"ram","2500",2015,43888,133,NA,NA,NA,NA,"diesel","automatic",NA
NA,"Hummer H2",2003,16000,130000,"excellent","SUV","full-size","black","gas","automatic","8 cylinders"
"hyundai","tucson se sport utility",2017,17990,21436,"good","other",NA,"red","gas","automatic",NA
"chevrolet","express",2007,4495,230525,"good","van","full-size","white","gas","automatic","8 cylinders"
"ram","1500",2016,25500,22470,"excellent","pickup",NA,"blue","gas","automatic",NA
"hyundai","santa fe",2004,3999,148673,NA,"SUV",NA,"silver","gas","automatic","6 cylinders"
NA,"Isuzu NPR",2015,23990,71284,"good",NA,NA,"white","diesel","automatic","4 cylinders"
"chevrolet","silverado",2013,22995,233896,NA,"pickup",NA,NA,"diesel","automatic",NA
"hyundai","sonata gls",2013,8998,113261,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"mercedes-benz","s-class",2012,28693,61279,NA,"sedan","full-size","black","gas","automatic","8 cylinders"
"honda","cr-v",2013,13900,65506,NA,"SUV",NA,"blue","gas","automatic","4 cylinders"
"nissan","sentra",2018,11177,55311,NA,"sedan",NA,"silver","gas","automatic","4 cylinders"
"nissan","frontier",2012,9995,160074,NA,NA,NA,NA,"gas","automatic","6 cylinders"
"ford","f150 super cab",2009,4999,209552,NA,"truck",NA,"white","gas","automatic",NA
NA,"Porsche CAYMAN S STICK VERY NICE",2014,48888,43724,"excellent","coupe",NA,NA,"gas","manual",NA
"pontiac","firebird",1995,8765,110466,"excellent","convertible",NA,"red","gas","automatic","6 cylinders"
"lexus","ct 200h hatchback 4d",2015,17990,44420,"good","hatchback",NA,NA,"hybrid","automatic",NA
